"infect" "Stay" "" "reg1" "reg2" "reg3"
"1" 23 40 17 0 0 0
"2" 3 73 24 0 1 0
"3" 11 63 52 0 0 1
"4" 38 80 15 0 0 0
"5" 39 23 84 1 0 0
"6" 33 98 98 0 1 0
"7" 28 96 61 0 0 1
"8" 36 22 75 0 1 0
"9" 25 71 87 0 0 1
"10" 44 74 71 1 0 0
"11" 31 19 14 1 0 0
"12" 25 62 72 0 0 1
"13" 49 33 13 1 0 0
"14" 19 44 81 0 1 0
"15" 24 81 56 0 0 1
"16" 37 20 39 0 0 1
"17" 27 61 3 0 0 0
"18" 45 27 104 1 0 0
"19" 24 83 54 0 1 0
"20" 23 87 67 0 0 1
"21" 24 43 103 0 0 0
"22" 30 7 10 0 1 0
"23" 32 100 95 1 0 0
"24" 30 101 69 0 0 1
"25" 22 84 45 0 0 0
"26" 21 61 11 0 1 0
"27" 27 86 2 1 0 0
"28" 16 60 36 1 0 0
"29" 26 28 96 1 0 0
"30" 31 102 5 0 1 0
"31" 32 18 4 1 0 0
"32" 34 101 49 0 1 0
"33" 35 29 27 1 0 0
"34" 42 34 9 1 0 0
"35" 44 97 55 0 1 0
"36" 32 9 6 1 0 0
"37" 12 103 57 0 1 0
"38" 28 50 80 0 0 1
"39" 23 12 42 0 1 0
"40" 1 59 33 0 0 1
"41" 19 66 92 0 0 1
"42" 29 13 94 0 0 1
"43" 14 23 60 0 0 1
"44" 38 3 62 0 0 1
"45" 37 64 73 0 1 0
"46" 28 5 23 0 0 0
"47" 46 37 12 1 0 0
"48" 37 17 47 0 1 0
"49" 5 47 18 0 0 1
"50" 24 76 76 0 0 1
"51" 38 26 68 1 0 0
"52" 25 85 19 0 1 0
"53" 48 24 100 0 0 1
"54" 50 32 7 0 1 0
"55" 15 69 28 1 0 0
"56" 21 21 51 1 0 0
"57" 19 41 53 0 0 0
"58" 25 46 40 0 0 0
"59" 21 14 1 0 1 0
"60" 27 25 99 0 0 1
"61" 17 11 35 1 0 0
"62" 39 22 26 0 1 0
"63" 36 52 101 0 0 0
"64" 26 95 102 0 1 0
"65" 32 49 46 0 0 1
"66" 25 90 38 1 0 0
"67" 26 1 93 0 1 0
"68" 19 68 95 0 0 1
"69" 27 94 77 0 0 1
"70" 18 56 78 1 0 0
"71" 24 42 83 0 1 0
"72" 6 39 29 0 0 1
"73" 34 93 40 0 0 1
"74" 27 2 79 1 0 0
"75" 17 65 74 0 1 0
"76" 27 38 66 0 0 0
"77" 13 77 76 1 0 0
"78" 31 6 59 0 1 0
"79" 26 76 58 0 1 0
"80" 33 8 84 0 1 0
"81" 13 15 30 0 1 0
"82" 18 53 90 0 1 0
"83" 37 45 37 0 0 0
"84" 29 72 22 0 0 0
"85" 4 57 31 0 0 1
"86" 23 82 64 0 0 1
"87" 13 51 63 0 0 1
"88" 25 10 82 0 1 0
"89" 30 88 86 1 0 0
"90" 40 24 50 0 0 1
"91" 13 75 79 0 0 1
"92" 6 79 48 0 0 1
"93" 1 78 63 0 1 0
"94" 35 58 64 0 0 0
"95" 35 99 85 0 1 0
"96" 9 67 70 1 0 0
"97" 20 70 43 0 0 1
"98" 30 31 97 1 0 0
"99" 8 54 25 0 0 1
"100" 43 4 36 0 0 1
"101" 10 98 65 0 0 0
"102" 25 102 8 1 0 0
"103" 11 41 91 0 0 0
"104" 47 35 16 1 0 0
"105" 27 91 34 0 0 1
"106" 13 16 32 0 0 1
"107" 2 41 20 0 0 1
"108" 7 55 21 0 1 0
"109" 39 30 13 0 1 0
"110" 40 92 44 0 0 1
"111" 26 48 41 0 0 0
"112" 41 36 89 1 0 0
"113" 15 89 88 0 0 1
